repo_full_name,total_pkgs,total_vulns,kev_count,kev_rate,scan_at
joemccann/dillinger,2248,337,2,0.005935,2026-03-02T11:32:08.879220+00:00
josdejong/jsoneditor,758,81,0,0.0,2026-03-02T11:32:08.879220+00:00
josdejong/mathjs,903,140,0,0.0,2026-03-02T11:32:08.879220+00:00
jquery-form/form,405,87,1,0.011494,2026-03-02T11:32:08.879220+00:00
jquery/jquery-ui,315,75,1,0.013333,2026-03-02T11:32:08.879220+00:00
jquery/jquery,766,141,1,0.007092,2026-03-02T11:32:08.879220+00:00
js-cookie/js-cookie,738,141,1,0.007092,2026-03-02T11:32:08.879220+00:00
jsdoc/jsdoc,542,62,0,0.0,2026-03-02T11:32:08.879220+00:00
jshint/jshint,648,113,1,0.00885,2026-03-02T11:32:08.879220+00:00
json-editor/json-editor,1537,234,2,0.008547,2026-03-02T11:32:08.879220+00:00
json-schema-org/json-schema-spec,517,53,0,0.0,2026-03-02T11:32:08.879220+00:00
json5/json5,393,72,0,0.0,2026-03-02T11:32:08.879220+00:00
jsonresume/resume-cli,945,169,1,0.005917,2026-03-02T11:32:08.879220+00:00
jtydhr88/ComfyUI-qwenmultiangle,96,28,1,0.035714,2026-03-02T11:32:08.879220+00:00
juliangarnier/anime,210,87,0,0.0,2026-03-02T11:32:08.879220+00:00
justlovemaki/AIClient-2-API,473,97,0,0.0,2026-03-02T11:32:08.879220+00:00
kangax/html-minifier,407,90,0,0.0,2026-03-02T11:32:08.879220+00:00
kefranabg/readme-md-generator,496,103,0,0.0,2026-03-02T11:32:08.879220+00:00
koajs/koa,368,51,0,0.0,2026-03-02T11:32:08.879220+00:00
koush/electron-chrome,346,100,2,0.02,2026-03-02T11:32:08.879220+00:00
krausest/js-framework-benchmark,455,64,0,0.0,2026-03-02T11:32:08.879220+00:00
krisk/Fuse,874,122,1,0.008197,2026-03-02T11:32:08.879220+00:00
kska32/ebooks,496,90,2,0.022222,2026-03-02T11:32:08.879220+00:00
l0o0/translators_CN,110,27,0,0.0,2026-03-02T11:32:08.879220+00:00
laravel-mix/laravel-mix,1073,176,0,0.0,2026-03-02T11:32:08.879220+00:00
larsenwork/postcss-easing-gradients,526,101,0,0.0,2026-03-02T11:32:08.879220+00:00
layui/layui,647,82,1,0.012195,2026-03-02T11:32:08.879220+00:00
leaningtech/webvm,237,59,1,0.016949,2026-03-02T11:32:08.879220+00:00
lebab/lebab,465,63,0,0.0,2026-03-02T11:32:08.879220+00:00
leonardomso/33-js-concepts,151,42,1,0.02381,2026-03-02T11:32:08.879220+00:00
liabru/matter-js,1041,201,0,0.0,2026-03-02T11:32:08.879220+00:00
lindell/JsBarcode,958,135,0,0.0,2026-03-02T11:32:08.879220+00:00
lint-staged/lint-staged,411,65,1,0.015385,2026-03-02T11:32:08.879220+00:00
listen1/listen1_chrome_extension,331,50,1,0.02,2026-03-02T11:32:08.879220+00:00
listen1/listen1_desktop,351,89,2,0.022472,2026-03-02T11:32:08.879220+00:00
livebud/bud,14,9,0,0.0,2026-03-02T11:32:08.879220+00:00
liyupi/ai-guide,1188,194,0,0.0,2026-03-02T11:32:08.879220+00:00
lockfale/OSINT-Framework,30,10,0,0.0,2026-03-02T11:32:08.879220+00:00
locomotivemtl/locomotive-scroll,2018,288,1,0.003472,2026-03-02T11:32:08.879220+00:00
lodash/lodash,493,122,1,0.008197,2026-03-02T11:32:08.879220+00:00
log4js-node/log4js-node,434,66,0,0.0,2026-03-02T11:32:08.879220+00:00
loiane/javascript-datastructures-algorithms,329,49,0,0.0,2026-03-02T11:32:08.879220+00:00
lokesh/color-thief,692,102,0,0.0,2026-03-02T11:32:08.879220+00:00
lokesh/lightbox2,99,31,1,0.032258,2026-03-02T11:32:08.879220+00:00
lrsjng/h5ai,603,131,0,0.0,2026-03-02T11:32:08.879220+00:00
luin/medis,847,209,3,0.014354,2026-03-02T11:32:08.879220+00:00
lutzroeder/netron,377,98,2,0.020408,2026-03-02T11:32:08.879220+00:00
lvarayut/relay-fullstack,912,182,0,0.0,2026-03-02T11:32:08.879220+00:00
mandatoryprogrammer/thermoptic,396,105,0,0.0,2026-03-02T11:32:08.879220+00:00
marcelscruz/public-apis,26,5,0,0.0,2026-03-02T11:32:08.879220+00:00
margox/braft-editor,968,210,0,0.0,2026-03-02T11:32:08.879220+00:00
marko-js/marko,771,95,0,0.0,2026-03-02T11:32:08.879220+00:00
markodenic/web-development-resources,49,38,0,0.0,2026-03-02T11:32:08.879220+00:00
marmelab/gremlins.js,871,119,0,0.0,2026-03-02T11:32:08.879220+00:00
mattboldt/typed.js,439,54,0,0.0,2026-03-02T11:32:08.879220+00:00
mattdesl/canvas-sketch,654,66,0,0.0,2026-03-02T11:32:08.879220+00:00
maxwellito/vivus,345,105,0,0.0,2026-03-02T11:32:08.879220+00:00
mediaelement/mediaelement,994,131,0,0.0,2026-03-02T11:32:08.879220+00:00
memochou1993/gpt-ai-assistant,575,80,0,0.0,2026-03-02T11:32:08.879220+00:00
metafizzy/flickity,252,48,1,0.020833,2026-03-02T11:32:08.879220+00:00
metafizzy/zdog,87,27,0,0.0,2026-03-02T11:32:08.879220+00:00
metalsmith/metalsmith,483,98,0,0.0,2026-03-02T11:32:08.879220+00:00
metarhia/impress,107,29,0,0.0,2026-03-02T11:32:08.879220+00:00
meteor/meteor,327,36,0,0.0,2026-03-02T11:32:08.879220+00:00
metowolf/vCards,305,45,0,0.0,2026-03-02T11:32:08.879220+00:00
microsoft/vscode,1343,234,2,0.008547,2026-03-02T11:32:08.879220+00:00
mikaelbr/node-notifier,796,86,0,0.0,2026-03-02T11:32:08.879220+00:00
ml5js/ml5-library,2260,343,0,0.0,2026-03-02T11:32:08.879220+00:00
mochajs/mocha,803,128,0,0.0,2026-03-02T11:32:08.879220+00:00
moment/moment,563,131,0,0.0,2026-03-02T11:32:08.879220+00:00
motdotla/dotenv,602,101,0,0.0,2026-03-02T11:32:08.879220+00:00
mozilla/readability,504,106,0,0.0,2026-03-02T11:32:08.879220+00:00
mroderick/PubSubJS,338,82,0,0.0,2026-03-02T11:32:08.879220+00:00
myliang/x-spreadsheet,773,188,0,0.0,2026-03-02T11:32:08.879220+00:00
nadbm/react-datasheet,657,99,0,0.0,2026-03-02T11:32:08.879220+00:00
ndelvalle/v-click-outside,1194,108,0,0.0,2026-03-02T11:32:08.879220+00:00
necolas/react-native-web,1089,198,0,0.0,2026-03-02T11:32:08.879220+00:00
needim/noty,840,202,0,0.0,2026-03-02T11:32:08.879220+00:00
